Time	Theta
57.35	86.52629
57.428	86.52484
57.522	86.52713
57.6	86.52492
57.678	86.527
57.756	86.52559
57.834	86.5292
57.912	86.52685
58.006	86.52537
58.084	86.52513
58.162	86.52851
58.24	86.52843
58.318	86.52956
58.396	86.52928
58.489	86.52972
58.567	86.52801
58.645	86.52863
58.739	86.53206
58.817	86.53305
58.895	86.53274
58.988	86.53206
59.066	86.53238
59.144	86.53246
59.222	86.53471
59.3	86.53534
59.378	86.53427
59.472	86.53785
59.55	86.53913
59.628	86.53951
59.706	86.54045
59.784	86.53909
59.862	86.54211
59.955	86.54246
60.033	86.54459
60.111	86.5444
60.205	86.5464
60.283	86.54506
60.361	86.54685
60.439	86.54797
60.517	86.54855
60.595	86.55001
60.673	86.54926
60.751	86.54998
60.829	86.55341
60.907	86.55138
60.985	86.55361
61.063	86.55363
61.157	86.55344
61.235	86.55705
61.313	86.55553
61.391	86.55599
61.47	86.55824
61.548	86.55842
61.641	86.55636
61.719	86.55795
61.797	86.56084
61.891	86.5619
61.969	86.56039
62.047	86.56208
62.14	86.56144
62.218	86.56185
62.296	86.56275
62.39	86.56163
62.468	86.56275
62.546	86.56413
62.64	86.56534
62.718	86.56303
62.796	86.56528
62.874	86.56497
62.952	86.56651
63.03	86.56663
63.108	86.56452
63.186	86.56633
63.264	86.56503
63.357	86.56855
63.435	86.57052
63.513	86.56756
63.607	86.56888
63.685	86.56834
63.763	86.56745
63.856	86.57116
63.934	86.5709
64.012	86.57175
64.09	86.56893
64.168	86.57359
64.246	86.57185
64.34	86.57216
64.418	86.57242
64.496	86.57294
64.574	86.57645
64.652	86.57355
64.73	86.578
64.824	86.57581
64.902	86.5778
64.98	86.57767
65.058	86.57923
65.136	86.57983
65.214	86.58032
65.307	86.57928
65.385	86.5789
65.463	86.57876
65.557	86.58032
65.635	86.58205
65.713	86.58286
65.806	86.58148
65.884	86.58259
65.962	86.58603
66.056	86.58445
66.134	86.58596
66.212	86.58555
66.29	86.58655
66.368	86.58536
66.446	86.58552
66.524	86.58694
66.602	86.58675
66.68	86.58647
66.774	86.58737
66.852	86.58991
66.93	86.58911
67.023	86.59093
67.101	86.5911
67.179	86.59295
67.273	86.59301
67.351	86.59177
67.429	86.59383
67.522	86.59438
67.6	86.59492
67.678	86.59457
67.772	86.59689
67.85	86.59552
67.928	86.59766
68.022	86.59752
68.1	86.5978
68.178	86.5985
68.256	86.59856
68.334	86.60053
68.412	86.60165
68.49	86.60218
68.568	86.60374
68.646	86.60349
68.739	86.60548
68.817	86.60643
68.895	86.60673
68.989	86.60818
69.067	86.60688
69.145	86.60873
69.223	86.60934
69.301	86.60986
69.379	86.60835
69.457	86.61078
69.535	86.6115
69.613	86.61203
69.706	86.61137
69.784	86.61364
69.862	86.6142
69.94	86.61622
70.018	86.6143
70.096	86.61542
70.19	86.6157
70.268	86.61694
70.346	86.61906
70.439	86.61663
70.517	86.61765
70.595	86.61591
70.673	86.6194
70.751	86.62314
70.829	86.62059
70.907	86.6208
70.985	86.62203
71.063	86.62291
71.141	86.62389
71.219	86.62547
71.297	86.62656
71.375	86.62457
71.453	86.62338
71.531	86.62768
71.595	86.62492
71.688	86.62575
71.766	86.62543
71.86	86.62854
71.938	86.62719
72.016	86.62622
72.094	86.62768
72.172	86.62846
72.25	86.62884
72.344	86.63024
72.422	86.6288
72.5	86.62862
72.593	86.63335
72.671	86.63384
72.749	86.63354
72.843	86.63266
72.923	86.63354
73.001	86.63662
73.094	86.63765
73.172	86.63568
73.25	86.63864
73.328	86.6373
73.406	86.63588
73.484	86.63682
73.578	86.63995
73.656	86.63955
73.734	86.64056
73.828	86.63955
73.906	86.64249
73.984	86.6405
74.077	86.64242
74.155	86.64498
74.233	86.64379
74.311	86.6426
74.389	86.64583
74.467	86.64652
74.561	86.6464
74.639	86.6477
74.717	86.64665
74.795	86.64736
74.873	86.65144
74.951	86.64954
75.029	86.65064
75.107	86.64738
75.185	86.6498
75.278	86.65245
75.356	86.65321
75.434	86.65335
75.512	86.65219
75.59	86.65504
75.668	86.65421
75.762	86.65388
75.84	86.65292
75.918	86.65406
75.996	86.65562
76.074	86.65578
76.152	86.65509
76.23	86.65778
76.308	86.65559
76.386	86.65711
76.48	86.65809
76.558	86.65752
76.636	86.65999
76.729	86.65862
76.807	86.65958
76.885	86.65786
76.963	86.66126
77.041	86.66262
77.119	86.65942
77.197	86.66373
77.275	86.66055
77.353	86.66548
77.431	86.66492
77.509	86.66504
77.587	86.66727
77.665	86.66766
77.743	86.66743
77.821	86.66766
77.915	86.66998
77.993	86.67074
78.071	86.67147
78.164	86.67174
78.242	86.67329
78.32	86.67471
78.414	86.67518
78.492	86.67643
78.57	86.6753
78.648	86.67487
78.697	86.67464
78.806	86.6752
78.884	86.67612
78.962	86.67405
79.04	86.67954
79.134	86.67609
79.212	86.68027
79.29	86.67927
79.383	86.67767
79.461	86.67977
79.539	86.67961
79.633	86.68214
79.711	86.68071
79.789	86.68226
79.882	86.68191
79.96	86.68244
80.038	86.68349
80.116	86.6829
80.194	86.68456
80.272	86.68486
80.35	86.68637
80.428	86.68481
80.506	86.68459
80.6	86.68525
80.678	86.68771
80.756	86.68787
80.849	86.68824
80.927	86.68832
81.005	86.68845
81.083	86.69015
81.161	86.68895
81.239	86.69146
81.317	86.68916
81.395	86.69017
81.473	86.69152
81.551	86.69215
81.629	86.69167
81.707	86.69262
81.801	86.69467
81.879	86.6959
81.957	86.6963
82.051	86.69702
82.129	86.69698
82.207	86.69599
82.3	86.69927
82.378	86.69839
82.456	86.69896
82.55	86.7001
82.628	86.69806
82.706	86.70158
82.784	86.70107
82.862	86.69879
82.94	86.70076
83.033	86.70354
83.111	86.70098
83.189	86.70486
83.283	86.70464
83.361	86.70433
83.439	86.70506
83.517	86.70676
83.595	86.70529
83.673	86.70711
83.767	86.7057
83.845	86.70789
83.923	86.70859
84.016	86.71063
84.094	86.71085
84.172	86.71029
84.25	86.70908
84.328	86.70979
84.406	86.70899
84.484	86.71059
84.562	86.71046
84.64	86.71043
84.734	86.71088
84.812	86.70949
84.89	86.71029
84.983	86.71241
85.061	86.71329
85.139	86.71222
85.233	86.71267
85.311	86.71646
85.389	86.71465
85.467	86.71597
85.545	86.7132
85.623	86.7162
85.717	86.71542
85.795	86.71445
85.873	86.71444
85.951	86.71507
86.029	86.71452
86.107	86.71807
86.185	86.71703
86.263	86.71638
86.341	86.71889
86.434	86.71649
86.512	86.71649
86.59	86.72003
86.668	86.71923
86.746	86.71748
86.824	86.71627
86.918	86.72096
86.996	86.71923
87.074	86.71822
87.167	86.71996
87.245	86.71878
87.323	86.72121
87.417	86.72614
87.495	86.72426
87.573	86.72393
87.651	86.7225
87.729	86.7243
87.807	86.72427
87.901	86.72111
87.979	86.72462
88.057	86.72576
88.135	86.72572
88.213	86.7269
88.291	86.72797
88.384	86.72674
88.462	86.72811
88.54	86.72977
88.618	86.72861
88.696	86.73071
88.774	86.73158
88.852	86.73037
88.93	86.73214
89.008	86.73244
89.086	86.73503
89.164	86.73351
89.242	86.73479
89.336	86.73454
89.414	86.73514
89.492	86.73761
89.57	86.73748
89.648	86.73551
89.726	86.73798
89.804	86.73972
89.882	86.73775
89.96	86.73901
90.038	86.74036
90.116	86.74141
90.194	86.74193
90.272	86.74038
90.35	86.74284
90.428	86.74166
90.506	86.74174
90.584	86.74295
90.662	86.74468
90.74	86.74447
90.818	86.74623
90.896	86.74477
90.989	86.74583
91.067	86.74582
91.145	86.74544
91.239	86.74727
91.317	86.75129
91.395	86.74867
91.488	86.74837
91.566	86.74776
91.644	86.74952
91.722	86.75005
91.8	86.75204
91.878	86.74943
91.956	86.75188
92.036	86.75182
92.114	86.75071
92.208	86.75301
92.286	86.75277
