Time1	2B
1.24650000040070153773e+002	2.26729999999999982663e+001
1.24744000040111131966e+002	2.26739999999999994884e+001
1.24837000040104612708e+002	2.26789999999999984936e+001
1.24931000040029175580e+002	2.26810000000000009379e+001
1.25025000040070153773e+002	2.26829999999999998295e+001
1.25118000040063634515e+002	2.26829999999999998295e+001
1.25212000040104612708e+002	2.26870000000000011653e+001
1.25305000040098093450e+002	2.26879999999999988347e+001
1.25399000040022656322e+002	2.26900000000000012790e+001
1.25493000040063634515e+002	2.26900000000000012790e+001
1.25586000040057115257e+002	2.26980000000000003979e+001
1.25680000040098093450e+002	2.26980000000000003979e+001
1.25773000040091574192e+002	2.27020000000000017337e+001
1.25867000040016137064e+002	2.27089999999999996305e+001
1.25961000040057115257e+002	2.27089999999999996305e+001
1.26054000040050595999e+002	2.27130000000000009663e+001
1.26148000040091574192e+002	2.27169999999999987494e+001
1.26241000040085054934e+002	2.27169999999999987494e+001
1.26335000040009617805e+002	2.27169999999999987494e+001
1.26429000040050595999e+002	2.27210000000000000853e+001
1.26522000040044076741e+002	2.27250000000000014211e+001
1.26616000040085054934e+002	2.27280000000000015348e+001
1.26709000040078535676e+002	2.27300000000000004263e+001
1.26803000040003098547e+002	2.27300000000000004263e+001
1.26897000040044076741e+002	2.27340000000000017621e+001
1.26990000040037557483e+002	2.27360000000000006537e+001
1.27084000040078535676e+002	2.27390000000000007674e+001
1.27177000040072016418e+002	2.27390000000000007674e+001
1.27271000039996579289e+002	2.27450000000000009948e+001
1.27365000040037557483e+002	2.27459999999999986642e+001
1.27458000040031038225e+002	2.27489999999999987779e+001
1.27552000040072016418e+002	2.27549999999999990052e+001
1.27645000040065497160e+002	2.27549999999999990052e+001
1.27739000040106475353e+002	2.27560000000000002274e+001
1.27833000040031038225e+002	2.27579999999999991189e+001
1.27926000040024518967e+002	2.27650000000000005684e+001
1.28020000040065497160e+002	2.27650000000000005684e+001
1.28113000040058977902e+002	2.27650000000000005684e+001
1.28207000040099956095e+002	2.27699999999999995737e+001
1.28301000040024518967e+002	2.27719999999999984652e+001
1.28394000040017999709e+002	2.27770000000000010232e+001
1.28488000040058977902e+002	2.27770000000000010232e+001
1.28581000040052458644e+002	2.27800000000000011369e+001
1.28675000040093436837e+002	2.27809999999999988063e+001
1.28769000040017999709e+002	2.27839999999999989200e+001
1.28862000040011480451e+002	2.27890000000000014779e+001
1.28956000040052458644e+002	2.27890000000000014779e+001
1.29049000040045939386e+002	2.27920000000000015916e+001
1.29143000040086917579e+002	2.27950000000000017053e+001
1.29237000040011480451e+002	2.27979999999999982663e+001
1.29330000040004961193e+002	2.27979999999999982663e+001
1.29424000040045939386e+002	2.28009999999999983800e+001
1.29517000040039420128e+002	2.28079999999999998295e+001
1.29611000040080398321e+002	2.28079999999999998295e+001
1.29705000040004961193e+002	2.28109999999999999432e+001
1.29798000039998441935e+002	2.28109999999999999432e+001
1.29892000040039420128e+002	2.28140000000000000568e+001
1.29985000040032900870e+002	2.28170000000000001705e+001
1.30079000040073879063e+002	2.28219999999999991758e+001
1.30173000039998441935e+002	2.28219999999999991758e+001
1.30266000040108337998e+002	2.28240000000000016200e+001
1.30360000040032900870e+002	2.28270000000000017337e+001
1.30453000040026381612e+002	2.28309999999999995168e+001
1.30547000040067359805e+002	2.28329999999999984084e+001
1.30641000040108337998e+002	2.28329999999999984084e+001
1.30734000040101818740e+002	2.28369999999999997442e+001
1.30828000040026381612e+002	2.28419999999999987494e+001
1.30921000040019862354e+002	2.28410000000000010800e+001
1.31015000040060840547e+002	2.28410000000000010800e+001
1.31109000040101818740e+002	2.28460000000000000853e+001
1.31202000040095299482e+002	2.28490000000000001990e+001
1.31296000040019862354e+002	2.28550000000000004263e+001
1.31389000040013343096e+002	2.28550000000000004263e+001
1.31468000040040351450e+002	2.28550000000000004263e+001
1.31539000040036626160e+002	2.28599999999999994316e+001
